index,id,company name,chemistry_detail,chemistry,format,part,cell status,cell shape,cycle_life,capacity_fade_eol,vol. energy density (wh/l),capacity_nom,v_max,v_nom,v_min,i_cont,i_peak,crate_discharge_cyclelife,weight (gr),volume (cc),i_charge_max,standard charge current (a),crate_charge_cyclelife,t_rest_h,length (mm),height (mm),width_(mm),diameter_(mm),id/date,charging_method,crate_cv_cutoff,t_cycle_dod,op_temp_discharge_min_c,t_max,t_charge_min,storage_temp_max_c,r_internal,charging_voltage_v,charge_cutoff_current_a,calendar_life_years,resistance_growth_eol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-022,ISI-022,CATL,Lithium Iron Phosphate,LFP,Prismatic,LEP71H3L7-01,Active,Prismatic,4000,80,355,302,3.65,3.2,2.5,151,302,0.5,5510,475,302,151,0.5,0.5,207,71,173,21,Document: CTPS-71H3L7-01 ,CC-CV,0.02,80%,-10,55,-20,30,6.36,4.29,4.245,14.4,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-023,ISI-023,CATL,Lithium Iron Phosphate,LFP,Prismatic,LEP54H4K1,Active,Prismatic,3500,80,355,202,3.65,3.2,2.5,101,202,0.5,3840,475,202,101,0.5,0.5,201,57,174,21,-,CC-CV,0.02,80%,0,55,0,40,4.37,4.29,3.192,12.6,6.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-024,ISI-024,COSLIGHT,Lithium Iron Phosphate,LFP,Prismatic,FP45173209A,Active,Prismatic,3000,80,355,150,3.65,3.2,2.5,75,450,0.5,3840,475,150,75,0.5,0.5,201,45.5,174,21,-,CC-CV,0.02,100%,-20,60,0,30,5.48,4.24,1.101,17.1,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-025,ISI-025,ECO POWER GROUP,Lithium Iron Phosphate,LFP,Prismatic,EC-AU228-NAH3L4,Active,Prismatic,2000,80,355,228,3.65,3.2,2.5,76,456,1,4200,475,228,76,1,0.5,207,54,174,21,-,CC-CV,0.02,80%,-10,50,-20,30,8.8,4.3,2.481,11.7,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-026a,ISI-026,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF280N-72174,Active,Prismatic,1800,80,355,280,3.65,3.2,2.5,140,280,1,5300,475,280,140,1,0.5,205,72,174,21,22.12.2019,CC-CV,0.05,100%,-20,50,0,25,8.83,4.24,0.467,15.3,13.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-026b,ISI-026,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF280N-72174,Active,Prismatic,3500,80,355,280,3.65,3.2,2.5,140,280,1,5300,475,280,140,1,0.5,205,72,174,21,22.12.2019,CC-CV,0.05,100%,-10,55,-20,40,5.02,4.26,2.407,11.7,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-027a,ISI-027,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF304-72174,Active,Prismatic,3500,80,355,304,3.65,3.2,2.5,152,304,1,5490,475,304,152,1,0.5,209,72,174,21,07.05.2020,CC-CV,0.05,100%,0,55,-20,40,8.88,4.24,10.349,15.3,13.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-027b,ISI-027,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF304-72174,Active,Prismatic,1800,80,355,304,3.65,3.2,2.5,152,304,1,5490,475,304,152,1,0.5,209,72,174,21,07.05.2020,CC-CV,0.05,100%,-10,50,0,40,4.15,4.22,9.163,17.1,6.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-028,ISI-028,Jiangsu FREY,Lithium Iron Phosphate,LFP,Prismatic,FREY36130290-100PF,Active,Prismatic,2500,80,355,100,3.65,3.2,2.5,50,200,0.5,3000,475,100,50,0.5,0.5,290,36,130,21,-,CC-CV,0.05,100%,-20,60,-10,40,2.79,4.23,2.016,17.1,4.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-029,ISI-029,GBS ZhEJIANG Systems,Lithium Iron Phosphate,LFP,Prismatic,GBS-LFP200Ah-B,Active,Prismatic,3000,80,355,200,3.65,3.2,2.5,100,600,0.5,6700,475,200,100,0.5,0.5,290,66,238,21,(V3.0),CC-CV,0.02,80%,0,60,-10,40,5.8,4.25,1.099,15.3,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-03,ISI-03,Kokam,Nickel rich,NMC,Pouch,SLPB130255255P,Active,Prismatic,6000,70,363,75,4.2,3.7,2.7,15,600,1,1830,475,300,15,1,0.5,265,13.7,268,21,-,CC-CV,0.02,90%,0,60,-20,25,3.7,4.27,4.103,8.1,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-030,ISI-030,GFB,Lithium Iron Phosphate,LFP,Prismatic,48173125-100Ah,Active,Prismatic,3000,80,355,100,3.65,3.2,2.5,50,100,1,2300,475,100,50,1,0.5,209,72,174,21,25.03.2019,CC-CV,0.02,80%,-20,55,-10,35,4.48,4.29,6.245,10.8,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-031,ISI-031,JIANGSU HIGEE,Lithium Iron Phosphate,LFP,Prismatic,HJLFP48173170E-152Ah,Active,Prismatic,3000,80,355,152,3.65,3.2,2.5,76,152,0.5,2940,475,152,76,0.5,0.5,170,49,174,21,08.08.2018,CC-CV,0.02,80%,-10,55,0,40,8.96,4.22,0.452,13.5,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-032a,ISI-032,JIANGSU HIGEE,Lithium Iron Phosphate,LFP,Prismatic,HJLFP48173170E-120Ah,Active,Prismatic,4000,80,355,120,3.65,3.2,2.5,120,240,1,2860,475,120,60,0.5,0.5,165,48,174,21,06.07.2019,CC-CV,0.02,80%,-20,50,0,35,6.38,4.23,8.902,11.7,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-032b,ISI-032,JIANGSU HIGEE,Lithium Iron Phosphate,LFP,Prismatic,HJLFP48173170E-120Ah,Active,Prismatic,5000,80,355,120,3.65,3.2,2.5,120,240,1,2860,475,120,60,1,0.5,165,48,174,21,06.07.2019,CC-CV,0.02,80%,0,60,-10,25,5.42,4.26,2.721,11.7,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-032c,ISI-032,JIANGSU HIGEE,Lithium Iron Phosphate,LFP,Prismatic,HJLFP48173170E-120Ah,Active,Prismatic,5500,80,355,120,3.65,3.2,2.5,120,240,0.5,2860,475,120,60,0.5,0.5,165,48,174,21,06.07.2019,CC-CV,0.02,80%,0,50,-20,40,8.57,4.3,6.829,11.7,12.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-033a,ISI-033,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF280-72174,Active,Prismatic,3500,70,355,280,3.65,3.2,2.5,140,280,1,5220,475,280,140,1,0.5,205,72,174,21,30.04.2019,CC-CV,0.05,80%,-20,50,-10,25,5.92,4.3,0.709,14.4,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-033b,ISI-033,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF280-72174,Active,Prismatic,1800,70,355,280,3.65,3.2,2.5,140,280,1,5220,475,280,140,1,0.5,205,72,174,21,30.04.2019,CC-CV,0.05,80%,0,55,-20,30,8.54,4.27,2.434,16.2,14.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-034a,ISI-034,EVE Energy,Lithium Iron Phosphate,LFP,Pouch,LF280K-72174,Active,Prismatic,6000,70,355,280,3.65,3.2,2.5,140,280,0.5,5420,475,280,140,0.5,0.5,205,72,174,21,23.03.2021,CC-CV,0.05,80%,0,55,0,35,3.93,4.23,3.961,17.1,6.8775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-034b,ISI-034,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF280K-72174,Active,Prismatic,2500,70,355,280,3.65,3.2,2.5,140,280,0.5,5420,475,280,140,0.5,0.5,205,72,174,21,23.03.2021,CC-CV,0.05,80%,-20,55,0,30,7.63,4.29,8.369,10.8,13.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-035,ISI-035,Lishen,Lithium Iron Phosphate,LFP,Prismatic,LP44147272-130Ah,Active,Prismatic,2000,80,355,130,3.65,3.2,2.5,39,234,0.333333333,3425,475,117,39,0.333333333,1,260,44,148,21,17.02.2017,CC-CV,0.05,80%,-20,55,-10,40,8.18,4.2,4.899,11.7,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-036,ISI-036,Lishen,Lithium Iron Phosphate,LFP,Prismatic,LP37173207-150Ah,Active,Prismatic,3000,80,355,150,3.65,3.2,2.5,75,150,1,2900,475,150,75,1,1,208,37,174,21,19.09.2019,CC-CV,0.05,80%,0,50,-10,35,8.87,4.28,5.193,10.8,13.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-037,ISI-037,Lishen,Lithium Iron Phosphate,LFP,Prismatic,LP54173210-202Ah,Active,Prismatic,3000,80,355,202,3.65,3.2,2.5,101,202,1,3900,475,202,101,1,1,210,54,174,21,23.01.2018,CC-CV,0.05,80%,0,55,0,40,4.15,4.28,4.312,10.8,6.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-038,ISI-038,Lishen,Lithium Iron Phosphate,LFP,Prismatic,LP71173207-272Ah,Active,Prismatic,2000,80,355,272,3.65,3.2,2.5,136,272,1,5302,475,272,136,1,1,208,72,174,21,15.06.2019,CC-CV,0.05,80%,-20,55,0,35,6.39,4.27,8.981,10.8,9.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-039,ISI-039,CRJ Technology Limited,Lithium Iron Phosphate,LFP,Prismatic,RJ-LFP71173200-271,Active,Prismatic,6000,80,355,271,3.65,3.2,2.5,54.2,542,1,5400,475,271,54.2,1,0.5,200,72,174,21,-,CC-CV,0.02,100%,-20,60,0,40,7.16,4.23,0.84,16.2,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-04,ISI-04,Kokam,Nickel rich,NMC,Pouch,SLPB120216216,Active,Prismatic,6000,70,418,53,4.2,3.7,2.7,10.6,265,1,1095,475,106,10.6,1,0.5,227,12,226,21,KKDS-20200514-BM-CEL-19 ,CC-CV,0.02,90%,-20,50,-10,30,2.43,4.23,2.207,10.8,6.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-040,ISI-040,Sinopoly,Lithium Iron Phosphate,LFP,Prismatic,Sinopoly 100 Ah,Active,Prismatic,2000,80,355,100,3.65,3.2,2.5,33,300,1,3150,475,200,33,1,0.5,221,61,142,21,-,CC-CV,0.02,80%,-20,50,0,40,5.79,4.26,2.622,18,8.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-041,ISI-041,Sinopoly,Lithium Iron Phosphate,LFP,Prismatic,Sinopoly 400 Ah,Active,Prismatic,1500,80,355,400,3.65,3.2,2.5,132,400,1,12800,475,400,132,1,0.5,450,71,285,21,-,CC-CV,0.02,80%,-10,50,-20,30,2.46,4.21,4.933,14.4,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-042,ISI-042,A123,Nickel rich,NMC,Pouch,A123 39AH,Active,Prismatic,500,80,355,39,4.2,3.65,2.7,19.5,117,1,820,475,78,19.5,1,0.5,268,7,228,21,-,CC-CV,0.02,80%,-10,50,0,40,2.54,4.24,1.486,8.1,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-043,ISI-043,A123,Lithium Iron Phosphate,LFP,Pouch,A123 50AH,Active,Prismatic,2000,80,355,50,3.65,3.3,2.5,25,50,1,1167,475,50,25,1,0.5,268,10.8,228,21,2021,CC-CV,0.02,80%,0,55,-10,35,4.72,4.29,1.117,18,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-044,ISI-044,A123,Nickel rich,NMC,Pouch,A123 26AH,Active,Prismatic,500,80,355,26,4.2,3.65,2.7,5.2,26,1,550,475,26,5.2,1,0.5,227,7.5,161,21,2016,CC-CV,0.02,80%,-20,60,-10,35,5.65,4.25,2.707,8.1,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
