index,id,company name,chemistry_detail,chemistry,format,part,cell status,cell shape,cycle_life,capacity_fade_eol,vol. energy density (wh/l),capacity_nom,v_max,v_nom,v_min,i_cont,i_peak,crate_discharge_cyclelife,weight (gr),volume (cc),i_charge_max,standard charge current (a),crate_charge_cyclelife,t_rest_h,length (mm),height (mm),width_(mm),diameter_(mm),id/date,charging_method,crate_cv_cutoff,t_cycle_dod,op_temp_discharge_min_c,t_max,t_charge_min,storage_temp_max_c,r_internal,charging_voltage_v,charge_cutoff_current_a,calendar_life_years,resistance_growth_eol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-061,ISI-061,ENERTECH,Nickel rich,NMC 811,Pouch,58253172V4 / 30Ah,Active,Prismatic,4000,80,440,25,4.2,3.7,2.7,10,60,1,520,475,30,10,1,0.5,253,5.8,172,21,-,CC-CV,0.02,80%,-10,60,-20,35,7.47,4.21,2.831,9,13.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-062,ISI-062,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 59235172PG1,Active,Prismatic,4000,90,355,16,4.1,3.65,2.5,5.333333333,80,1,430,475,80,5.333333333,1,0.5,253,5.8,172,21,-,CC-CV,0.02,80%,-20,55,-20,30,7.92,4.22,1.549,7.2,11.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-063,ISI-063,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 70115145 / 12 Ah,Active,Prismatic,4000,90,355,12,4.1,3.65,2.5,6,24,1,240,475,12,6,1,0.5,253,5.8,172,21,-,CC-CV,0.02,80%,0,50,-20,25,4.49,4.24,0.38,9,6.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-064,ISI-064,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 90190260V2 / 40Ah,Active,Prismatic,2000,80,355,40,4.2,3.7,3,20,160,1,990,475,40,20,1,0.5,260,9,190,21,-,CC-CV,0.05,80%,-20,60,-20,30,7.43,4.26,2.981,9.9,13.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-065,ISI-065,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB704684,Active,Prismatic,500,80,451,3.3,4.2,3.7,3,1.65,6.6,1,60,475,3.3,1.65,1,0.5,84,7,46,21,18.07.2012,CC-CV,0.02,80%,-20,55,-20,30,3.06,4.23,1.115,7.2,5.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-066,ISI-066,GeneralElectronics,Nickel rich,LFP,Pouch,GEB 126090,Active,Prismatic,300,80,355,8.8,4.2,3.7,2.75,1.76,8.8,0.2,155,475,8.8,1.76,0.2,1,90,12,60,21,-,CC-CV,0.02,80%,0,55,-10,30,4.54,4.28,1.459,14.4,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-067,ISI-067,GeneralElectronics,Nickel rich,LFP,Pouch,GEB 855085,Active,Prismatic,500,80,355,4.1,4.2,3.7,2.75,0.82,4.1,0.2,70,475,4.1,0.82,0.2,1,85,8.5,50,21,-,CC-CV,0.02,80%,-10,60,-20,25,2.28,4.2,2.67,16.2,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-068,ISI-068,GeneralElectronics,Nickel rich,LFP,Pouch,GEB 9059156,Active,Prismatic,500,80,355,10,4.2,3.7,2.75,2,10,0.2,200,475,10,2,0.2,1,156,9,60,21,-,CC-CV,0.05,80%,0,60,-10,40,1.5,4.24,1.567,16.2,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-069,ISI-069,GeneralElectronics,Nickel rich,LFP,Cylindrical,GEB 21700,Active,Cyl,1000,80,355,4,4.2,3.7,2.75,0.8,12,0.2,69,475,2,0.8,0.2,0.5,21.8,70.5,174,21.8,04.07.2018,CC-CV,0.02,80%,0,55,-20,30,5.61,4.29,0.099,14.4,8.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-07,ISI-07,Kokam,Nickel rich,NMC,Pouch,SLPB120216216G2,Active,Prismatic,3000,70,525,70,4.2,3.67,2.7,14,140,1,1150,475,70,14,1,0.5,227,12.3,226,21,KKDS-20200514-BM-CEL-21 ,CC-CV,0.02,90%,-20,55,-20,30,6.47,4.21,0.327,7.2,16.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-070,ISI-070,GeneralElectronics,Nickel rich,LFP,Cylindrical,GEB 26650,Active,Cyl,1000,80,355,5,4.2,3.7,2.75,1,5,0.2,80,475,2.5,1,0.2,0.5,26,65,174,26,30.07.2018,CC-CV,0.01,80%,-10,60,0,40,4.73,4.25,0.127,17.1,7.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-071,ISI-071,GeneralElectronics,Nickel rich,LFP,Cylindrical,GEB 32650,Active,Cyl,1000,80,355,6,4.2,3.7,2.75,3,6,0.2,140,475,3,1.2,0.2,0.5,32,65,174,32,06.03.2019,CC-CV,0.01,80%,-20,60,0,35,7.34,4.22,0.033,11.7,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-072,ISI-072,Great Power,Nickel rich,LFP,Cylindrical,GP 21700,Active,Cyl,1000,80,355,4.7,4.2,3.7,2.75,0.94,7.05,0.2,140,475,2.4,0.96,0.2,0.5,21.8,70.5,174,21.8,27.03.2018,CC-CV,0.02,80%,-10,50,-10,25,6.39,4.25,0.156,14.4,9.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-073,ISI-073,Hitachi,Nickel rich,LFP,Pouch,L0578G1A1,Active,Prismatic,1000,80,355,5,4.2,3.7,2.75,1,15,2,137,475,7.5,1,2,0.5,161,6.5,78,21,2.2013,CC-CV,0.1,80%,-10,50,0,25,2.01,4.25,2.142,10.8,3.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-074,ISI-074,Hitachi,Nickel rich,LFP,Pouch,L13A0N2C1,Active,Prismatic,1000,80,355,13,4.2,3.7,2.75,2.6,39,2,270,475,13,2.6,2,0.5,222,6.7,100,21,2.2013,CC-CV,0.1,80%,-20,50,-10,40,6.72,4.27,0.413,18,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-075,ISI-075,Hitachi,Nickel rich,LFP,Pouch,L15A0N2C1,Active,Prismatic,1000,80,355,15,4.2,3.7,2.75,3,45,2,307,475,15,3,2,0.5,222,7.5,100,21,2.2013,CC-CV,0.1,80%,-10,55,0,30,4.45,4.27,0.171,17.1,6.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-076,ISI-076,KeepPower,Nickel rich,LFP,Cylindrical,KP 21700,Active,Cyl,500,80,355,4,4.2,3.7,2.75,0.8,4,0.2,69,475,2,0.96,0.2,0.5,21.8,70.5,174,21.8,-,CC-CV,0.02,80%,0,60,-10,35,6.26,4.21,0.119,14.4,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-077a,ISI-077,LECLANCHÉ,Lithium Titanate,LTO,Pouch,LT 34 Ah (936901),Active,Prismatic,20000,80,355,34,2.8,2.2,1.5,34,204,4,1080,475,204,34,4,0.5,286,12,178.5,21,LT34 EN D20212_1,CC-CV,0.02,80%,0,50,-10,35,3.53,4.22,0.534,20.7,4.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-077b,ISI-077,LECLANCHÉ,Lithium Titanate,LTO,Pouch,LT 34 Ah (936901),Active,Prismatic,15000,80,355,34,2.8,2.2,1.5,34,204,4,1080,475,204,34,4,0.5,286,12,178.5,21,LT34 EN D20212_1,CC-CV,0.02,100%,-20,55,0,25,4.69,4.21,1.875,20.7,6.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-078a,ISI-078,LECLANCHÉ,Nickel rich,NMC,Pouch,GL60 (936A04),Active,Prismatic,8000,80,355,60,4.2,3.7,3,12,180,1,1120,475,60,12,1,0.5,286,12,178.5,21,GL60 EN D201910_2,CC-CV,0.02,100%,-10,50,-20,30,7.34,4.26,0.844,9,14.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-078b,ISI-078,LECLANCHÉ,Nickel rich,NMC,Pouch,GL60 (936A04),Active,Prismatic,4500,80,355,60,4.2,3.7,3,12,180,1,1120,475,60,12,1,0.5,286,12,178.5,21,GL60 EN D201910_2,CC-CV,0.02,80%,-20,50,-20,30,2.89,4.24,2.259,7.2,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-079a,ISI-079,LECLANCHÉ,Nickel rich,NMC 622,Pouch,GL65,Active,Prismatic,7000,80,355,65,4.35,3.72,3,13,195,1,1120,475,65,13,1,0.5,286,12,178.5,21,GL65 EN-EUR B20213_0,CC-CV,0.02,100%,-10,60,0,25,1.93,4.25,2.169,10.8,3.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-079b,ISI-079,LECLANCHÉ,Nickel rich,NMC 622,Pouch,GL65,Active,Prismatic,4000,80,355,65,4.35,3.72,3,13,195,1,1120,475,65,13,1,0.5,286,12,178.5,21,GL65 EN-EUR B20213_0,CC-CV,0.02,80%,-10,60,0,30,7.84,4.25,3.157,9,14.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-08,ISI-08,Kokam,Nickel rich,NMC,Pouch,SLPB120255255,Active,Prismatic,6000,70,423,75,4.2,3.7,2.7,15,225,1,1535,475,75,15,1,0.5,265,11.8,268,21,KKDS-20200514-BM-CEL-22 ,CC-CV,0.02,90%,0,55,0,25,6.48,4.22,0.965,9.9,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-080,ISI-080,LG Chem,Nickel rich,NMC,Cylindrical,INR18650 MJ1,Active,Cyl,400,80,355,3.5,4.2,3.635,2.5,0.7,10,1.142857143,49,475,3.4,0.96,0.428571429,0.5,18,65,174,18,-,CC-CV,0.02,80%,0,50,-10,30,4.31,4.26,0.076,9.9,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-081,ISI-081,LG Chem,Nickel rich,NMC,Cylindrical,INR21700 M50T,Active,Cyl,300,80,355,4.8,4.2,3.635,2.5,0.96,14.55,0.33,69,475,3.395,1.455,0.33,0.5,21,70,174,21,16.07.2018,CC-CV,0.02,80%,-20,55,-10,40,3.08,4.21,0.137,7.2,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-082,ISI-082,LG Chem,Nickel rich,NMC 811,Cylindrical,INR21700 M50,Active,Cyl,500,80,355,4.8,4.2,3.635,2.5,0.96,14.55,0.33,68.5,475,3.395,1.455,0.33,0.5,21,70,174,21,22.09.2017,CC-CV,0.02,80%,0,50,-20,25,2.93,4.25,0.184,9.9,5.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-083,ISI-083,Lishen,Nickel rich,NCA,Cylindrical,LR2170SA,Active,Cyl,1000,80,355,4,4.2,3.65,2.5,2,12,1,68,475,2,0.8,0.5,0.5,21,70,174,21,19.05.2017,CC-CV,0.02,80%,-20,55,-10,30,9.46,4.3,0.07,9,20.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-084,ISI-084,OSN,Lithium Titanate,LTO,Pouch,OSN-08198255-LT28,Active,Prismatic,30000,80,355,28,2.8,2.4,1.6,28,420,1,70,475,168,28,1,0.5,225,8,198,21,2021,CC-CV,0.02,80%,-20,60,-20,25,2.73,4.22,0.877,20.7,3.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-085,ISI-085,Panasonic,Nickel rich,NCA,Cylindrical,Panasonic NCR21700A,Active,Cyl,1000,80,355,5,4.2,3.65,2.5,1,15,1,70,475,3,1,1,0.5,21,70,174,21,2021,CC-CV,0.02,80%,-10,55,-20,25,6.71,4.27,0.146,9.9,14.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-086,ISI-086,Panasonic,Nickel rich,NCA,Cylindrical,NCR20700A,Active,Cyl,300,80,512,3.3,4.2,3.65,2.5,0.66,20,3,60,475,2.2,0.66,1,0.5,20,70,174,20,-,CC-CV,0.03,80%,-10,50,0,35,6.02,4.22,0.142,9.9,13.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-087,ISI-087,Panasonic,Nickel rich,NCA,Cylindrical,NCR20700B,Active,Cyl,500,80,659,4,4.2,3.65,2.5,0.8,12,2,63,475,2,0.8,0.5,0.5,20,70,174,20,-,CC-CV,0.03,80%,0,60,0,30,9.52,4.26,0.051,8.1,20.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-088,ISI-088,Samsung,Nickel rich,NCA,Cylindrical,INR21700-40T,Active,Cyl,250,60,355,4,4.2,3.635,2.5,0.8,10,8,70,475,6,2,1.5,0.5,21,70,174,21,12.2017,CC-CV,0.03,80%,-20,50,-10,35,6.59,4.3,0.191,9,22.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-089,ISI-089,Samsung,Nickel rich,NCA,Cylindrical,INR21700-48G,Active,Cyl,500,60,355,4.8,4.2,3.635,2.5,0.96,9.6,1,70,475,4.8,1.44,0.3,0.5,21,70,174,21,10.2015,CC-CV,0.02,80%,-20,55,-10,30,8.1,4.29,0.146,9.9,27.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-09,ISI-09,Kokam,Nickel rich,NMC,Pouch,SLPB130255255G1,Active,Prismatic,6000,70,503,103,4.2,3.7,2.7,20.6,206,1,1810,475,103,20.6,1,0.5,265,13.3,268,21,-,CC-CV,0.02,90%,-20,60,-20,40,2.39,4.22,2.856,9.9,5.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-090,ISI-090,VAPCELL,Nickel rich,NMC,Cylindrical,INR21700,Active,Cyl,500,80,355,4.5,4.2,3.6,2.5,0.9,20,1,72,475,3,1.5,1,0.5,21,70,174,21,24.05.2011,CC-CV,0.02,80%,0,55,0,35,4.77,4.22,0.187,9,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-091,ISI-091,Eagle Picher Technologies LLC,Nickel rich,"NMC, NCA, NMC/NCA",Prismatic,LiBG18EV-1,Active,Prismatic,2000,80,210,17,4.1,3.7,2.5,8.5,2000,0.5,810,475,27.5,1.1,1,0.5,229,9.8,142,21,-,CC-CV,0.02,80%,-10,55,0,40,8.37,4.21,0.793,9,15.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-092,ISI-092,Eagle Picher Technologies LLC,Nickel rich,"NMC, NCA, NMC/NCA",Prismatic,SLC-16050-003,Active,Prismatic,500,80,305.4,62.5,4.1,3.7,3,31.25,62.5,1,2020,475,125,31.25,1,0.5,172.7,58.4,81.5,21,-,CC-CV,0.02,80%,-20,60,-10,25,5.95,4.26,5.248,9.9,10.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-093,ISI-093,Eagle Picher Technologies LLC,Nickel rich,"NMC, NCA, NMC/NCA",Prismatic,SLC-21060-001,Active,Prismatic,500,80,324.1,72,4.1,3.7,3,36,72,1,1974,475,146,36,1,0.5,173,56.9,81.5,21,-,CC-CV,0.02,80%,0,60,-20,30,3.5,4.22,2.784,9.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-094,ISI-094,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 32975,Active,Prismatic,2000,80,285,12,4.1,3.6,3,2.4,96,0.5,465,475,4,6,0.5,0.5,97.9,25.3,71,21,LP32975-0419,CC-CV,0.02,100%,-10,60,0,40,6.18,4.24,4.115,9,13.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-095,ISI-095,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33037,Active,Prismatic,2000,80,393,60,4.1,3.6,3,12,250,0.5,1600,475,4,12,0.5,0.5,141.3,34,137.7,21,-,CC-CV,0.02,100%,-10,50,0,35,4.78,4.29,7.95,9.9,10.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-096,ISI-096,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33081,Active,Prismatic,2000,80,335,30,4.1,3.6,3,6,150,0.5,950,475,4,6,0.5,0.5,140.5,28.1,95.7,21,LP33081-0419 ,CC-CV,0.02,100%,0,50,0,35,5.06,4.21,1.832,8.1,11.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-097,ISI-097,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33330,Active,Prismatic,500,80,263,6,4.1,3.6,3,1.2,24,1,222,475,4,1,1,0.5,77.8,22.2,49.8,21,-,CC-CV,0.02,100%,-20,50,-20,35,3.8,4.22,2.195,8.1,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-098,ISI-098,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33450,Active,Prismatic,2000,80,378,43,4.1,3.6,3,8.6,200,0.5,1270,475,4,21.5,0.5,0.5,151.7,30.7,106.7,21,LP33450-0319 ,CC-CV,0.02,100%,-20,55,-10,40,5.65,4.22,2.17,9.9,12.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-099,ISI-099,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 34100,Active,Prismatic,500,80,165,5,4.1,3.6,3,0.8,500,1,275,475,4,2.5,1,0.5,143.2,7.4,105.9,21,-,CC-CV,0.02,100%,0,60,0,30,3.28,4.22,0.595,9.9,7.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-100,ISI-100,Amita Technologies,Nickel rich,NMC,Pouch,9299130NE,Active,Prismatic,1500,70,512,16.8,4.2,3.7,2.8,3.2,32,1,240,475,16,3.2,1,0.33,130,9.2,99,21,-,CC-CV,0.05,100%,-20,55,0,35,4.88,4.25,1.515,9.9,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-101,ISI-101,Amita Technologies,Nickel rich,NMC / LTO,Prismatic,120155250L-AL40,Active,Prismatic,7500,80,198,42,2.7,2.2,1.6,8,200,1,980,475,120,8,1,0.5,250,12,155,21,15.10.2019,CC-CV,0.02,80%,-20,50,0,35,7.22,4.23,8.396,7.2,12.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-102,ISI-102,Amita Technologies,Lithium Iron Phosphate,LFP,Prismatic,120155250P-LF01,Active,Prismatic,4000,80,275,40,3.65,3.2,2.5,8,120,1,980,475,120,8,1,0.33,250,12.2,155,21,18.06.2020,CC-CV,0.02,80%,0,55,0,25,4.74,4.26,1.492,17.1,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-103a,ISI-103,Amita Technologies,Nickel rich,NMC,Prismatic,120155250N- AM44E,Active,Prismatic,5000,80,384.6,49,4.2,3.65,2.8,9.6,144,1,885,475,9.6,144,1,0.5,250,12.2,155,21,18.06.2020,CC-CV,0.05,90%,-10,50,0,25,3.09,4.27,1.106,10.8,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-103b,ISI-103,Amita Technologies,Nickel rich,NMC,Prismatic,120155250N- AM44E,Active,Prismatic,3500,80,384.6,49,4.2,3.65,2.8,9.6,144,1,885,475,9.6,144,1,0.5,250,12.2,155,21,18.06.2020,CC-CV,0.05,100%,0,50,-10,25,4.73,4.23,1.244,9,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-104,ISI-104,Amita Technologies,Nickel rich,NMC,Prismatic,120155250NH-NH02,Active,Prismatic,3000,85,348.3,45,4.2,3.6,2.4,8.8,176,1,928,475,176,8.8,4,0.5,250,12.2,155,21,18.06.2020,CC-CV,0.05,80%,-20,60,-20,35,6,4.24,11.481,10.8,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-105,ISI-105,Amita Technologies,Nickel rich,NMC,Pouch,5099130NRS,Active,Prismatic,2000,80,333,5.5,4.2,3.7,2.8,0.8,44,1,141,475,27.5,1,1,0.5,130,5.23,98,21,07.12.2008,CC-CV,0.02,80%,0,55,0,35,1.63,4.28,1.548,7.2,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-106,ISI-106,Amita Technologies,Nickel rich,NMC,Pouch,7799130N,Active,Prismatic,2000,80,388,10.3,4.2,3.7,2.8,0.8,30.9,1,218,475,10.3,1,1,0.5,130,8.2,98,21,-,CC-CV,0.02,80%,-20,60,-10,30,6.55,4.21,2.901,9,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-107,ISI-107,Amita Technologies,Nickel rich,NCA,Pouch,8399130NE,Active,Prismatic,700,80,521,14.5,4.2,3.7,2.8,0.8,14.5,1,235,475,14.5,1,1,0.5,130,8.3,99,21,-,CC-CV,0.02,80%,-10,60,-20,30,6.3,4.27,0.809,7.2,13.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-108,ISI-108,Amita Technologies,Nickel rich,NMC,Pouch,7799130ND,Active,Prismatic,2000,80,440,11.7,4.2,3.7,2.8,0.8,35.1,1,221,475,11.7,1,1,0.5,130,8.1,98,21,-,CC-CV,0.02,80%,-10,55,-10,25,2.53,4.23,0.312,8.1,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-109,ISI-109,Amita Technologies,Lithium Iron Phosphate,LFP,Pouch,7799130P,Active,Prismatic,3000,80,266,7.5,3.65,3.2,2.5,0.8,37.5,1,195,475,15,1,1,0.5,130,7.9,98,21,-,CC-CV,0.02,80%,-20,55,-10,25,4.07,4.25,1.047,18,6.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-110,ISI-110,Amita Technologies,Nickel rich,NMC,Pouch,9299130N,Active,Prismatic,2000,80,404,13,4.2,3.7,2.8,0.8,39,1,260,475,13,1,1,0.5,130,9.05,98,21,-,CC-CV,0.02,80%,0,50,0,30,6.23,4.23,1.938,9,12.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-111,ISI-111,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP7851119F,Active,Prismatic,2000,80,355,3.5,3.65,3.2,2,0.7,7,0.5,87.5,475,3.5,0.73,0.5,0.33,120,8.1,51.5,21,-,CC-CV,0.02,80%,-20,55,-20,40,7.35,4.24,5.444,10.8,11.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-112,ISI-112,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP1167220F,Active,Prismatic,2000,80,355,11,3.65,3.2,2,2.2,22,0.5,275,475,11,0.73,0.5,0.33,224,11.3,67.5,21,13.10.2016,CC-CV,0.02,100%,-20,60,-10,25,4.6,4.23,4.384,16.2,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-113,ISI-113,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP7568130F,Active,Prismatic,2000,80,355,5,3.65,3.2,2,1,10,0.5,125,475,5,0.73,0.5,0.33,131,7.8,68.5,21,18.09.2015,CC-CV,0.02,100%,-10,55,0,35,8.67,4.21,3.126,18,13.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-114,ISI-114,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP9590120F,Active,Prismatic,2000,80,355,8.5,3.65,3.2,2,1.7,17,0.5,170,475,8.5,0.73,0.5,0.33,121,9.8,90.5,21,30.06.2018,CC-CV,0.02,100%,0,60,-20,30,8.68,4.22,5.527,13.5,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-115,ISI-115,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP60100100F,Active,Prismatic,2000,80,355,4.5,3.65,3.2,2,0.9,9,0.5,112.5,475,4.5,0.73,0.5,0.33,101,6.3,100.5,21,18.09.2015,CC-CV,0.02,100%,-20,50,-20,25,6.76,4.24,3.485,15.3,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-116,ISI-116,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP90100160F,Active,Prismatic,2000,80,355,10,3.65,3.2,2,2,20,0.5,250,475,10,0.73,0.5,0.33,166,9.5,101,21,18.07.2017,CC-CV,0.02,100%,-10,55,-10,40,4.4,4.21,4.27,16.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-117,ISI-117,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP7851119F,Active,Prismatic,2000,80,355,7,3.65,3.2,2,1.4,14,0.5,175,475,7,0.73,0.5,0.33,123,7.8,103.5,21,10.06.2015,CC-CV,0.02,100%,0,50,0,40,5.7,4.29,9.395,16.2,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-118,ISI-118,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 32770,Active,Prismatic,2000,80,343,55,4.1,3.7,3,11,440,0.5,1680,475,27.5,11,0.5,0.5,141,34,137.7,21,-,CC-CV,0.02,80%,-10,55,-20,30,5.32,4.22,14.157,6.3,11.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-119,ISI-119,BMZ / Sony,Nickel rich,NMC 811,Cylindrical,BMZ 21700 50EL,Active,Cyl,1000,90,355,5,4.2,3.6,2.5,1,14,0.33,68.5,475,2.38,1.45,0.33,0.5,21.1,70.15,174,21.1,-,CC-CV,0.02,80%,0,50,0,30,6.54,4.29,0.08,7.2,9.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-120,ISI-120,Zenlabs / Envia,Nickel rich,NMC 811,Pouch,ENV 11.6 Ah,Active,Prismatic,800,80,850,12,4.2,3.45,2.5,2.4,60,1,121,475,12,2.4,1,0.5,145,6,64,21,12.06.2019,CC-CV,0.02,80%,-10,60,0,25,4.53,4.29,1.939,10.8,8.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
